"age","educ","black","hisp","married","nodegr","re74","re75","y","u74","u75","z","ps"
37,11,1,0,1,1,0,0,1.3269448718815,1,1,0,0.359173956970611
22,9,0,1,0,1,0,0,-1.14068106648946,1,1,0,0.293721976888402
30,12,1,0,0,0,0,0,-4.28835712596701,1,1,0,0.402671518763703
27,11,1,0,0,1,0,0,1.28169351624481,1,1,0,0.324208268373581
33,8,1,0,0,1,0,0,-1.22297647096492,1,1,0,0.393995917857573
22,9,1,0,0,1,0,0,2.30998665628586,1,1,0,0.359548274650997
23,12,1,0,0,0,0,0,4.97354291099204,1,1,0,0.395046167937215
32,11,1,0,0,1,0,0,1.30270372069222,1,1,0,0.329590477745829
22,16,1,0,0,0,0,0,3.8352024270462,1,1,0,0.317286795286163
33,12,0,0,1,0,0,0,998.868278218112,1,1,1,0.459676453903282
19,9,1,0,0,1,0,0,2.0379151812301,1,1,0,0.356855252605454
21,13,1,0,0,0,0,0,1.79413390344101,1,1,0,0.373143924994781
18,8,1,0,0,1,0,0,2.19784143091598,1,1,0,0.378177765792588
27,10,1,0,1,1,0,0,-2.04943339367648,1,1,0,0.367461225397905
17,7,1,0,0,1,0,0,3.26241235578048,1,1,0,0.40156987315141
19,10,1,0,0,1,0,0,1003.81831796144,1,1,1,0.336266463604838
27,13,1,0,0,0,0,0,999.427648897192,1,1,1,0.379148664028924
23,10,1,0,0,1,0,0,0.921336570068603,1,1,0,0.339805617104099
40,12,1,0,0,0,0,0,-4.54856775842905,1,1,0,0.416146580829784
26,12,1,0,0,0,0,0,999.31609879147,1,1,1,0.398144672396744
23,11,1,0,0,1,0,0,4.32597973097255,1,1,0,0.320388785260203
41,14,0,0,0,0,0,0,995.159366379817,1,1,1,0.404453293284706
38,9,0,0,0,1,0,0,1000.14886470531,1,1,1,0.405138306759961
24,11,1,0,0,1,0,0,-2.91176345012894,1,1,0,0.32130550631166
18,10,1,0,0,1,0,0,-0.601551484923436,1,1,0,0.335435997266837
29,11,1,0,1,1,0,0,1.98172883379471,1,1,0,0.349435182912449
25,11,1,0,0,1,0,0,997.489975684743,1,1,1,0.322247204287274
27,10,0,1,0,1,0,0,0.920629661625738,1,1,0,0.279544185734263
17,10,1,0,0,1,0,0,997.564044415436,1,1,1,0.334624577127142
24,11,1,0,0,1,0,0,0.105746778601598,1,1,0,0.32130550631166
17,10,1,0,0,1,0,0,0.551186725226984,1,1,0,0.334624577127142
48,4,1,0,0,1,0,0,5.32357011822842,1,1,0,0.537335128654218
25,11,1,0,1,1,0,0,1004.67322754847,1,1,1,0.345266059827109
20,12,1,0,0,0,0,0,-2.77604831566579,1,1,0,0.39218060142688
25,12,1,0,0,0,0,0,0.219306716905515,1,1,0,0.397084614072372
42,14,1,0,0,0,0,0,1.64551556003976,1,1,0,0.378884556544768
25,5,1,0,0,1,0,0,996.144418609132,1,1,1,0.467464729287131
23,12,1,0,1,0,0,0,-5.6604980496715,1,1,0,0.420042359391424
46,8,1,0,1,1,0,0,999.450208764859,1,1,1,0.438555711305152
24,10,1,0,0,1,0,0,3.93283768199101,1,1,0,0.340750039416873
21,12,1,0,0,0,0,0,2.27538807273834,1,1,0,0.393111417964964
19,9,0,0,0,1,0,0,1003.46306156599,1,1,1,0.383365040646698
17,8,1,0,0,1,0,0,997.407500746037,1,1,1,0.37732165669209
18,8,0,1,1,1,0,0,995.30784893351,1,1,1,0.333190524349019
20,11,1,0,0,1,0,0,-3.66686460578123,1,1,0,0.317780292414888
25,11,1,0,1,1,0,0,996.854874406274,1,1,1,0.345266059827109
17,8,1,0,0,1,0,0,993.598423267148,1,1,1,0.37732165669209
17,9,1,0,0,1,0,0,-5.67920071455621,1,1,0,0.355166630728625
25,5,1,0,0,1,0,0,998.432410348319,1,1,1,0.467464729287131
23,12,1,0,0,0,0,0,1003.09745520406,1,1,1,0.395046167937215
28,8,1,0,0,1,0,0,-2.68845509319829,1,1,0,0.388027950859402
31,11,1,0,1,1,0,0,-0.330847896461788,1,1,0,0.351689510173929
18,11,1,0,0,1,0,0,1001.52795400385,1,1,1,0.316149282716824
25,12,1,0,0,0,0,0,5.88401796590687,1,1,0,0.397084614072372
30,11,1,0,1,1,0,0,-1.0944329357255,1,1,0,0.350547788275858
17,10,1,0,0,1,0,0,995.367263562261,1,1,1,0.334624577127142
37,9,1,0,0,1,0,0,1005.8084652594,1,1,1,0.376662442822377
41,4,1,0,1,1,0,0,1.3584709300965,1,1,0,0.551203428459379
42,14,1,0,1,0,0,0,-1.15402108241611,1,1,0,0.403540279366137
22,11,0,0,0,1,0,0,1001.39350781539,1,1,1,0.344718287157426
17,8,1,0,0,1,0,0,-1.76220416348239,1,1,0,0.37732165669209
29,8,1,0,0,1,0,0,1002.78307338322,1,1,1,0.389161635612367
35,10,1,0,0,1,0,0,0.293805723234003,1,1,0,0.352956411202192
27,11,1,0,0,1,0,0,1.39174276858262,1,1,0,0.324208268373581
29,4,1,0,0,1,0,0,6.5955343305951,1,1,0,0.508769775516802
28,9,1,0,0,1,0,0,0.431065097957792,1,1,0,0.365613400137292
27,11,1,0,0,1,0,0,999.25557923692,1,1,1,0.324208268373581
23,7,0,0,0,1,0,0,-0.719769027154517,1,1,0,0.434872961930812
45,5,1,0,1,1,0,0,1000.64497144811,1,1,1,0.521222367365849
29,13,1,0,0,0,0,0,999.934229626624,1,1,1,0.381370005970789
27,9,1,0,0,1,0,0,0.735130534089144,1,1,0,0.364534545156879
46,13,1,0,0,0,0,0,-1.29437648870885,1,1,0,0.405288950309114
18,6,1,0,0,1,0,0,1002.25513730568,1,1,1,0.429515383403066
25,12,1,0,0,0,0,0,1000.78859725588,1,1,1,0.397084614072372
28,15,1,0,0,0,0,0,0.318495513914177,1,1,0,0.3416222117269
25,11,0,0,0,1,0,0,997.577509528349,1,1,1,0.347575470274308
22,12,1,0,0,0,0,0,1003.14221959269,1,1,1,0.394066267546413
21,9,1,0,0,1,0,0,0.81562037674913,1,1,0,0.358627561732104
40,11,1,0,0,1,0,0,1006.06627861935,1,1,1,0.339741010110808
22,11,1,0,0,1,0,0,1001.45045884185,1,1,1,0.319496267710665
25,12,1,0,0,0,0,0,0.307268739279263,1,1,0,0.397084614072372
18,12,1,0,0,0,0,0,-5.27080055266131,1,1,0,0.390386243228298
38,12,0,0,0,0,0,0,5.29842040577023,1,1,0,0.441019211567904
27,13,1,0,0,0,0,0,-1.07645310992488,1,1,0,0.379148664028924
27,8,1,0,0,1,0,0,999.142831854746,1,1,1,0.386923295397465
38,11,1,0,0,1,0,0,-7.63078532499323,1,1,0,0.337017700286918
23,8,0,1,0,1,0,0,4.32071933078915,1,1,0,0.314794134951625
26,11,1,0,0,1,0,0,999.55463378209,1,1,1,0.323214579031519
21,12,0,0,0,0,0,0,1008.65046215065,1,1,1,0.420553377089635
25,8,1,0,0,1,0,0,1.33094651785939,1,1,0,0.384798885217737
31,11,1,0,1,1,0,0,2.99386095962904,1,1,0,0.351689510173929
17,10,1,0,0,1,0,0,998.582693016877,1,1,1,0.334624577127142
25,11,1,0,0,1,0,0,4.19965336420506,1,1,0,0.322247204287274
21,12,1,0,0,0,0,0,-4.38736865566675,1,1,0,0.393111417964964
44,11,1,0,0,1,0,0,0.650678058156754,1,1,0,0.345573941637155
25,12,0,0,0,0,0,0,0.482881798440975,1,1,0,0.424609877305985
18,9,1,0,0,1,0,0,-4.04925369894255,1,1,0,0.35600121143385
42,12,1,0,0,0,0,0,998.770982240995,1,1,1,0.419231976162576
25,10,1,0,0,1,0,0,998.749034882708,1,1,1,0.34172003264993
31,9,0,1,0,1,0,0,-1.87939037355045,1,1,0,0.302281167093163
24,10,1,0,0,1,0,0,2.15687628166502,1,1,0,0.340750039416873
26,10,1,0,0,1,0,0,0.572822490065486,1,1,0,0.342716304571065
25,11,1,0,0,1,0,0,998.2983848456,1,1,1,0.322247204287274
18,11,1,0,0,1,0,0,998.405450799488,1,1,1,0.316149282716824
19,11,1,0,0,1,0,0,998.868475677936,1,1,1,0.316954772927168
43,9,1,0,0,1,0,0,-0.576565068122584,1,1,0,0.385454184621794
27,13,1,0,0,0,0,0,-1.02236038450978,1,1,0,0.379148664028924
17,9,1,0,0,1,0,0,-0.863680843490279,1,1,0,0.355166630728625
30,11,1,0,0,1,0,0,-8.66687065232453,1,1,0,0.327352858978752
26,10,1,0,1,1,2028,0,-2.69753491366059,0,1,0,0.289802826088473
20,9,1,0,0,1,6083.99,0,-1.8736395063179,0,1,0,0.243492763059255
17,9,0,1,0,1,445.17,74.3435,153.512567792838,0,0,0,0.295048022471419
20,12,1,0,0,0,989.268,165.208,452.899949177836,0,0,0,0.391321389614461
18,11,1,0,0,1,858.254,214.564,1488.48928798928,0,0,1,0.32558893915449
27,12,1,0,1,0,3670.87,334.049,2826.49559674858,0,0,1,0.392305946557483
21,12,0,0,0,0,3670.87,334.049,2831.13292777468,0,0,1,0.388643204602983
27,12,1,0,0,0,2143.41,357.95,1315.72947526313,0,0,0,0.391221269321859
20,12,1,0,0,0,0,377.569,1.46274366547269,1,0,0,0.473042705442599
19,10,1,0,0,1,0,385.274,1001.63297257371,1,0,1,0.414024231451692
23,12,1,0,0,0,5506.31,501.074,3230.01847871084,0,0,0,0.356975852052789
29,14,1,0,0,0,0,679.673,-1.55675255717462,1,0,0,0.459053187155813
18,10,1,0,0,1,0,798.908,5.01029533631948,1,0,0,0.43563006814745
19,9,1,0,0,1,0,798.908,-1.07622872864165,1,0,0,0.459028058743245
27,13,0,0,1,0,9381.57,853.723,6797.80210929084,0,0,0,0.377675194652842
18,11,0,0,0,1,3678.23,919.558,3719.48301516743,0,0,0,0.340130713951884
27,9,1,0,1,1,0,934.445,1000.13702370759,1,0,1,0.49844717235079
22,12,1,0,0,0,5605.85,936.177,5065.5687945989,0,0,0,0.37407650993377
23,10,1,0,1,1,0,936.439,5.21471169038777,1,0,0,0.471445143095856
23,12,0,1,0,0,9385.74,1117.44,8213.65237603929,0,0,0,0.286420916077645
20,11,1,0,0,1,3637.5,1220.84,5499.09155806311,0,0,1,0.325757632492079
17,9,1,0,0,1,1716.51,1253.44,3709.70253125766,0,0,1,0.393593824854839
28,11,1,0,0,1,0,1284.08,1000.98742894015,1,0,1,0.440439492800468
26,11,1,0,1,1,0,1392.85,999.646878620695,1,0,1,0.466720282157544
20,11,1,0,0,1,16318.6,1484.99,15762.2257348714,0,0,1,0.245219754343807
24,11,1,0,1,1,824.389,1666.11,2982.55598184816,0,0,1,0.417420924058588
31,9,1,0,0,1,0,1698.61,1005.33455536543,1,0,1,0.498722543248984
23,8,0,0,1,1,0,1713.15,1004.46745774783,1,0,1,0.567612533483761
18,10,1,0,0,1,2143.41,1784.27,4046.26968478522,0,0,0,0.376954470710772
29,12,1,0,0,0,10881.9,1817.28,13805.7134917813,0,0,1,0.3632569478683
26,11,0,0,0,1,0,2226.27,997.170829142061,1,0,1,0.486748689448409
24,9,1,0,0,1,9154.7,2288.68,14336.045052,0,0,1,0.344643868905797
